player_id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Added,Added,Unnamed: 26_level_0
,Rk,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,Awards
derozde01,1.0,DeMar DeRozan,34.0,CHI,SF,79.0,79.0,2989.0,0.48,0.509,0.333,0.507,0.853,0.584,0.452,0.166,101.0,93.0,91.0,93.0,109.0,101.0,185.0,42.0,-106.1,12.9,CPOY-2
sabondo01,2.0,Domantas Sabonis,27.0,SAC,C,82.0,82.0,2928.0,0.594,0.613,0.379,0.609,0.704,0.637,0.389,0.081,125.0,112.0,104.0,111.0,90.0,110.0,159.0,21.0,133.6,142.3,"MVP-8,DPOY-10,NBA3"
whiteco01,3.0,Coby White,23.0,CHI,PG,79.0,78.0,2881.0,0.447,0.508,0.376,0.534,0.838,0.57,0.215,0.46,94.0,93.0,103.0,98.0,107.0,98.0,88.0,116.0,-30.5,-26.1,
bridgmi01,4.0,Mikal Bridges,27.0,BRK,SF,82.0,82.0,2854.0,0.436,0.49,0.372,0.521,0.814,0.56,0.245,0.457,92.0,90.0,102.0,95.0,104.0,97.0,100.0,116.0,-66.4,-56.8,
banchpa01,5.0,Paolo Banchero,21.0,ORL,PF,80.0,80.0,2799.0,0.455,0.493,0.339,0.497,0.725,0.546,0.397,0.249,96.0,90.0,93.0,91.0,92.0,94.0,163.0,63.0,-139.0,-113.4,AS
duranke01,6.0,Kevin Durant,35.0,PHO,PF,75.0,75.0,2791.0,0.523,0.567,0.413,0.581,0.856,0.626,0.295,0.283,110.0,104.0,113.0,106.0,109.0,108.0,121.0,72.0,100.3,150.4,"MVP-9,AS,NBA2"
murrade01,7.0,Dejounte Murray,27.0,ATL,SG,78.0,78.0,2783.0,0.459,0.518,0.363,0.528,0.794,0.555,0.179,0.379,97.0,95.0,99.0,97.0,101.0,96.0,73.0,96.0,-54.2,-77.8,
edwaran01,8.0,Anthony Edwards,22.0,MIN,SG,79.0,78.0,2770.0,0.461,0.515,0.357,0.522,0.836,0.575,0.325,0.341,97.0,94.0,98.0,95.0,107.0,99.0,133.0,86.0,-77.0,-16.5,"MVP-7,CPOY-8,AS,NBA2"
jokicni01,9.0,Nikola Jokić,28.0,DEN,C,79.0,79.0,2737.0,0.583,0.626,0.359,0.612,0.817,0.65,0.31,0.164,123.0,115.0,98.0,112.0,104.0,112.0,127.0,41.0,184.7,224.7,"MVP-1,CPOY-4,AS,NBA1"
brunsja01,10.0,Jalen Brunson,27.0,NYK,PG,77.0,77.0,2726.0,0.479,0.516,0.401,0.543,0.847,0.592,0.302,0.319,101.0,95.0,110.0,99.0,108.0,102.0,123.0,81.0,-10.4,46.7,"MVP-5,CPOY-5,AS,NBA2"
hartjo01,11.0,Josh Hart,28.0,NYK,SF,81.0,42.0,2707.0,0.434,0.511,0.31,0.493,0.791,0.522,0.169,0.38,92.0,94.0,85.0,90.0,101.0,90.0,69.0,96.0,-72.2,-85.3,
davisan02,12.0,Anthony Davis,30.0,LAL,C,76.0,76.0,2700.0,0.556,0.582,0.271,0.567,0.816,0.621,0.402,0.083,117.0,107.0,74.0,104.0,104.0,107.0,165.0,21.0,52.6,124.4,"DPOY-4,AS,NBA2,DEF1"
vanvlfr01,13.0,Fred VanVleet,29.0,HOU,PG,73.0,73.0,2684.0,0.416,0.454,0.387,0.527,0.86,0.568,0.225,0.576,88.0,83.0,106.0,96.0,110.0,98.0,92.0,146.0,-39.7,-27.7,
foxde01,14.0,De'Aaron Fox,26.0,SAC,PG,74.0,74.0,2659.0,0.465,0.522,0.369,0.534,0.738,0.567,0.273,0.374,98.0,96.0,101.0,98.0,94.0,98.0,112.0,95.0,-39.2,-46.7,CPOY-12
siakapa01,15.0,Pascal Siakam,29.0,2TM,PF,80.0,80.0,2657.0,0.536,0.581,0.346,0.569,0.732,0.601,0.312,0.194,113.0,107.0,94.0,104.0,93.0,104.0,128.0,49.0,57.7,60.5,
siakapa01,15.0,Pascal Siakam,29.0,TOR,PF,39.0,39.0,1354.0,0.522,0.584,0.317,0.559,0.758,0.6,0.358,0.233,110.0,107.0,87.0,102.0,97.0,103.0,147.0,59.0,15.0,28.5,
siakapa01,15.0,Pascal Siakam,29.0,IND,PF,41.0,41.0,1303.0,0.549,0.58,0.386,0.579,0.699,0.602,0.267,0.156,116.0,106.0,106.0,106.0,89.0,104.0,109.0,39.0,42.7,32.0,
tatumja01,16.0,Jayson Tatum,25.0,BOS,PF,74.0,74.0,2645.0,0.471,0.542,0.376,0.552,0.833,0.604,0.349,0.427,99.0,99.0,103.0,101.0,106.0,104.0,143.0,108.0,14.3,79.2,"MVP-6,CPOY-9,AS,NBA1"
reaveau01,17.0,Austin Reaves,25.0,LAL,SG,82.0,57.0,2629.0,0.486,0.583,0.367,0.568,0.853,0.613,0.289,0.447,102.0,107.0,100.0,104.0,109.0,106.0,118.0,113.0,40.5,70.8,
maxeyty01,18.0,Tyrese Maxey,23.0,PHI,PG,70.0,70.0,2626.0,0.45,0.501,0.373,0.524,0.868,0.573,0.266,0.401,95.0,92.0,102.0,96.0,111.0,99.0,109.0,102.0,-63.1,-22.9,"MIP-1,AS"
doncilu01,19.0,Luka Dončić,24.0,DAL,PG,70.0,70.0,2624.0,0.487,0.573,0.382,0.573,0.786,0.617,0.368,0.45,103.0,105.0,104.0,105.0,100.0,106.0,151.0,114.0,86.2,143.4,"MVP-3,CPOY-6,AS,NBA1"
vucevni01,20.0,Nikola Vučević,33.0,CHI,C,76.0,74.0,2610.0,0.484,0.55,0.294,0.522,0.822,0.54,0.107,0.258,102.0,101.0,80.0,95.0,105.0,93.0,44.0,65.0,-59.7,-100.6,
greenja05,21.0,Jalen Green,21.0,HOU,SG,82.0,82.0,2601.0,0.423,0.498,0.332,0.498,0.804,0.541,0.264,0.454,89.0,91.0,91.0,91.0,103.0,93.0,108.0,115.0,-129.0,-114.8,
goberru01,22.0,Rudy Gobert,31.0,MIN,C,76.0,76.0,2593.0,0.661,0.664,0.0,0.661,0.638,0.675,0.635,0.005,139.0,122.0,0.0,121.0,81.0,116.0,260.0,1.0,140.9,149.7,"DPOY-1,DEF1"
