player_id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Added,Added,Unnamed: 26_level_0
,Rk,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,Awards
bridgmi01,1.0,Mikal Bridges,28.0,NYK,SF,82.0,82.0,3036.0,0.5,0.594,0.354,0.57,0.814,0.585,0.1,0.391,107.0,109.0,98.0,105.0,104.0,101.0,41.0,93.0,63.1,20.9,
hartjo01,2.0,Josh Hart,29.0,NYK,SG,77.0,77.0,2897.0,0.525,0.618,0.333,0.579,0.776,0.611,0.266,0.327,112.0,113.0,93.0,107.0,99.0,106.0,110.0,78.0,55.7,59.7,
edwaran01,3.0,Anthony Edwards,23.0,MIN,SG,79.0,79.0,2871.0,0.447,0.501,0.395,0.547,0.837,0.595,0.308,0.503,96.0,92.0,110.0,101.0,107.0,103.0,127.0,119.0,11.2,67.9,"MVP-7,CPOY-3,AS,NBA2"
bookede01,4.0,Devin Booker,28.0,PHO,SG,75.0,75.0,2795.0,0.461,0.542,0.332,0.525,0.894,0.589,0.34,0.388,99.0,99.0,92.0,97.0,115.0,102.0,140.0,92.0,-51.3,41.7,
hardeja01,5.0,James Harden,35.0,LAC,PG,79.0,79.0,2789.0,0.41,0.472,0.352,0.501,0.874,0.582,0.446,0.516,88.0,87.0,98.0,92.0,112.0,101.0,184.0,122.0,-109.5,16.6,"MVP-10,AS,NBA3"
derozde01,6.0,DeMar DeRozan,35.0,SAC,SF,77.0,77.0,2768.0,0.477,0.513,0.328,0.509,0.857,0.569,0.337,0.196,102.0,94.0,91.0,94.0,110.0,99.0,139.0,46.0,-88.7,-20.9,
youngtr01,7.0,Trae Young,26.0,ATL,PG,76.0,76.0,2739.0,0.411,0.474,0.34,0.491,0.875,0.567,0.408,0.467,88.0,87.0,94.0,90.0,112.0,98.0,168.0,111.0,-144.5,-29.1,"CPOY-4,AS"
herroty01,8.0,Tyler Herro,25.0,MIA,SG,77.0,77.0,2725.0,0.472,0.565,0.375,0.563,0.878,0.605,0.237,0.486,101.0,104.0,104.0,104.0,113.0,105.0,98.0,115.0,56.3,86.2,AS
anunoog01,9.0,OG Anunoby,27.0,NYK,PF,74.0,74.0,2706.0,0.476,0.561,0.372,0.559,0.81,0.591,0.22,0.448,102.0,103.0,103.0,103.0,104.0,103.0,91.0,106.0,33.5,33.9,
greenja05,10.0,Jalen Green,22.0,HOU,SG,82.0,82.0,2697.0,0.423,0.482,0.354,0.505,0.813,0.544,0.234,0.46,91.0,88.0,98.0,93.0,104.0,94.0,96.0,109.0,-110.8,-103.3,
braunch01,11.0,Christian Braun,23.0,DEN,SG,79.0,77.0,2675.0,0.58,0.648,0.397,0.634,0.827,0.665,0.261,0.273,124.0,119.0,110.0,117.0,106.0,115.0,107.0,65.0,149.3,163.4,
adebaba01,12.0,Bam Adebayo,27.0,MIA,C,78.0,78.0,2674.0,0.485,0.517,0.357,0.521,0.765,0.561,0.295,0.199,104.0,95.0,99.0,96.0,98.0,97.0,121.0,47.0,-49.9,-38.9,DPOY-10
zubaciv01,13.0,Ivica Zubac,27.0,LAC,C,80.0,80.0,2624.0,0.628,0.628,,0.628,0.661,0.641,0.251,0.0,135.0,115.0,,116.0,85.0,111.0,103.0,0.0,160.9,134.8,"DPOY-6,DEF2"
tatumja01,14.0,Jayson Tatum,26.0,BOS,PF,72.0,72.0,2624.0,0.452,0.559,0.343,0.537,0.814,0.582,0.3,0.497,97.0,103.0,95.0,99.0,104.0,101.0,124.0,118.0,-17.2,20.7,"MVP-4,CPOY-10,AS,NBA1"
mcdanja02,15.0,Jaden McDaniels,24.0,MIN,PF,82.0,82.0,2614.0,0.477,0.561,0.33,0.537,0.813,0.562,0.153,0.363,102.0,103.0,92.0,99.0,104.0,97.0,63.0,86.0,-9.8,-26.0,
murrake02,16.0,Keegan Murray,24.0,SAC,PF,76.0,76.0,2610.0,0.444,0.566,0.343,0.538,0.833,0.553,0.088,0.548,95.0,104.0,95.0,99.0,107.0,96.0,36.0,130.0,-8.6,-39.5,
lavinza01,17.0,Zach LaVine,29.0,2TM,SG,74.0,74.0,2602.0,0.511,0.562,0.446,0.609,0.825,0.639,0.233,0.438,109.0,103.0,124.0,112.0,106.0,111.0,96.0,104.0,160.6,170.1,
lavinza01,17.0,Zach LaVine,29.0,CHI,SF,42.0,42.0,1432.0,0.511,0.56,0.446,0.607,0.797,0.637,0.256,0.43,109.0,103.0,124.0,112.0,102.0,111.0,106.0,102.0,90.8,96.5,
lavinza01,17.0,Zach LaVine,29.0,SAC,SG,32.0,32.0,1170.0,0.511,0.564,0.446,0.611,0.874,0.642,0.201,0.45,109.0,103.0,124.0,113.0,112.0,111.0,83.0,107.0,69.8,73.6,
gilgesh01,18.0,Shai Gilgeous-Alexander,26.0,OKC,PG,76.0,76.0,2598.0,0.519,0.571,0.375,0.569,0.898,0.637,0.404,0.263,111.0,105.0,104.0,105.0,115.0,111.0,166.0,62.0,84.4,236.4,"MVP-1,DPOY-10,CPOY-8,AS,NBA1"
portemi01,19.0,Michael Porter Jr.,26.0,DEN,SF,77.0,77.0,2593.0,0.504,0.599,0.395,0.596,0.768,0.617,0.185,0.467,108.0,110.0,110.0,110.0,98.0,107.0,76.0,111.0,110.7,91.9,
whitede01,20.0,Derrick White,30.0,BOS,SG,76.0,76.0,2574.0,0.442,0.593,0.384,0.58,0.839,0.606,0.168,0.721,95.0,109.0,106.0,107.0,108.0,105.0,69.0,171.0,71.4,61.2,DPOY-10
daniedy01,21.0,Dyson Daniels,21.0,ATL,SG,76.0,76.0,2571.0,0.493,0.545,0.34,0.536,0.593,0.545,0.152,0.255,106.0,100.0,95.0,99.0,76.0,95.0,62.0,60.0,-12.5,-61.6,"DPOY-2,MIP-1,DEF1"
jokicni01,22.0,Nikola Jokić,29.0,DEN,C,70.0,70.0,2571.0,0.576,0.627,0.417,0.627,0.8,0.663,0.331,0.243,123.0,115.0,116.0,115.0,103.0,115.0,136.0,58.0,228.5,270.5,"MVP-2,CPOY-2,AS,NBA1"
reaveau01,23.0,Austin Reaves,26.0,LAL,SG,73.0,73.0,2550.0,0.46,0.547,0.377,0.556,0.877,0.616,0.353,0.512,98.0,100.0,105.0,102.0,112.0,107.0,145.0,122.0,27.7,94.4,
camarto01,24.0,Toumani Camara,24.0,POR,PF,78.0,78.0,2548.0,0.458,0.542,0.375,0.552,0.722,0.572,0.176,0.503,98.0,99.0,104.0,102.0,93.0,99.0,72.0,119.0,13.3,-7.0,"DPOY-9,DEF2"
siakapa01,25.0,Pascal Siakam,30.0,IND,PF,78.0,78.0,2548.0,0.519,0.568,0.389,0.572,0.734,0.599,0.261,0.274,111.0,104.0,108.0,105.0,94.0,104.0,107.0,65.0,68.2,59.7,AS
lopezbr01,26.0,Brook Lopez,36.0,MIL,C,80.0,80.0,2546.0,0.509,0.636,0.373,0.599,0.826,0.624,0.178,0.482,109.0,117.0,103.0,110.0,106.0,108.0,73.0,114.0,86.3,79.1,
townska01,27.0,Karl-Anthony Towns,29.0,NYK,C,72.0,72.0,2517.0,0.526,0.567,0.42,0.584,0.829,0.63,0.337,0.278,113.0,104.0,117.0,108.0,106.0,109.0,139.0,66.0,100.3,151.5,"AS,NBA3"
carrica01,28.0,Bub Carrington,19.0,WAS,PG,82.0,57.0,2458.0,0.401,0.475,0.339,0.493,0.812,0.514,0.114,0.544,86.0,87.0,94.0,91.0,104.0,89.0,47.0,129.0,-74.4,-98.1,
cunnica01,29.0,Cade Cunningham,23.0,DET,PG,70.0,70.0,2452.0,0.469,0.515,0.356,0.521,0.846,0.565,0.254,0.287,100.0,94.0,99.0,96.0,108.0,98.0,105.0,68.0,-65.5,-36.6,"MVP-7,AS,NBA3"
halibty01,30.0,Tyrese Haliburton,24.0,IND,PG,73.0,73.0,2451.0,0.473,0.581,0.388,0.582,0.851,0.616,0.221,0.559,101.0,107.0,108.0,107.0,109.0,107.0,91.0,133.0,77.3,87.1,NBA3
whiteco01,31.0,Coby White,24.0,CHI,SG,74.0,73.0,2450.0,0.453,0.544,0.37,0.55,0.902,0.601,0.274,0.521,97.0,100.0,103.0,101.0,116.0,104.0,113.0,124.0,14.4,61.5,
jamesle01,32.0,LeBron James,40.0,LAL,SF,70.0,70.0,2444.0,0.513,0.574,0.376,0.571,0.782,0.604,0.261,0.312,110.0,105.0,104.0,105.0,100.0,105.0,107.0,74.0,71.6,78.6,"MVP-6,CPOY-7,AS,NBA2"
sabondo01,33.0,Domantas Sabonis,28.0,SAC,C,70.0,70.0,2429.0,0.59,0.627,0.417,0.627,0.754,0.655,0.324,0.175,126.0,115.0,116.0,115.0,97.0,114.0,133.0,41.0,149.1,161.4,
murraja01,34.0,Jamal Murray,27.0,DEN,PG,67.0,67.0,2418.0,0.474,0.518,0.393,0.543,0.886,0.584,0.219,0.354,101.0,95.0,109.0,100.0,114.0,101.0,90.0,84.0,0.4,19.4,
sengual01,35.0,Alperen Şengün,22.0,HOU,C,76.0,76.0,2395.0,0.496,0.519,0.233,0.505,0.692,0.545,0.374,0.079,106.0,95.0,65.0,93.0,89.0,95.0,154.0,19.0,-86.5,-83.2,AS
brookdi01,36.0,Dillon Brooks,29.0,HOU,SF,75.0,75.0,2388.0,0.429,0.465,0.397,0.533,0.818,0.555,0.135,0.524,92.0,85.0,110.0,98.0,105.0,96.0,56.0,124.0,-18.1,-39.7,
goberru01,37.0,Rudy Gobert,32.0,MIN,C,72.0,72.0,2388.0,0.669,0.669,,0.669,0.674,0.687,0.535,0.0,143.0,123.0,,123.0,86.0,119.0,220.0,0.0,128.1,139.9,"DPOY-13,DEF2"
harrito02,38.0,Tobias Harris,32.0,DET,PF,73.0,73.0,2305.0,0.477,0.542,0.345,0.534,0.861,0.571,0.206,0.328,102.0,99.0,96.0,98.0,110.0,99.0,85.0,78.0,-15.3,-9.8,
garlada01,39.0,Darius Garland,25.0,CLE,PG,75.0,75.0,2301.0,0.472,0.53,0.401,0.562,0.878,0.6,0.217,0.451,101.0,97.0,111.0,104.0,113.0,104.0,89.0,107.0,44.9,61.8,"CPOY-6,AS"
brunsja01,40.0,Jalen Brunson,28.0,NYK,PG,65.0,65.0,2301.0,0.488,0.539,0.383,0.551,0.821,0.605,0.373,0.331,104.0,99.0,106.0,101.0,105.0,105.0,154.0,79.0,18.6,80.0,"MVP-10,CPOY-1,AS,NBA2"
allenja01,41.0,Jarrett Allen,26.0,CLE,C,82.0,82.0,2296.0,0.706,0.712,0.0,0.706,0.718,0.724,0.433,0.008,151.0,131.0,0.0,130.0,92.0,126.0,178.0,2.0,208.9,225.0,
paulch01,42.0,Chris Paul,39.0,SAS,PG,82.0,82.0,2292.0,0.427,0.514,0.377,0.547,0.924,0.58,0.158,0.636,91.0,94.0,105.0,101.0,118.0,101.0,65.0,151.0,4.8,4.5,
