player_id,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
bridgmi01,1.0,Mikal Bridges,28.0,NYK,SF,82.0,82.0,3036.0,7.0,14.0,0.5,1.9,5.5,0.354,5.1,8.5,0.594,0.57,1.1,1.4,0.814,0.8,2.2,3.1,3.6,0.9,0.5,1.6,1.5,17.1,
hartjo01,2.0,Josh Hart,29.0,NYK,SG,77.0,77.0,2897.0,5.0,9.6,0.525,1.0,3.1,0.333,4.0,6.4,0.618,0.579,2.0,2.5,0.776,2.0,7.2,9.2,5.6,1.5,0.3,2.0,2.5,13.1,
edwaran01,3.0,Anthony Edwards,23.0,MIN,SG,79.0,79.0,2871.0,9.0,20.2,0.447,4.0,10.2,0.395,5.0,10.0,0.501,0.547,5.2,6.2,0.837,0.8,4.9,5.6,4.5,1.1,0.6,3.1,1.9,27.3,"MVP-7,CPOY-3,AS,NBA2"
bookede01,4.0,Devin Booker,28.0,PHO,SG,75.0,75.0,2795.0,8.4,18.3,0.461,2.4,7.1,0.332,6.1,11.2,0.542,0.525,5.6,6.2,0.894,1.0,2.9,3.9,6.8,0.9,0.2,2.8,2.6,24.8,
hardeja01,5.0,James Harden,35.0,LAC,PG,79.0,79.0,2789.0,6.9,16.7,0.41,3.0,8.6,0.352,3.8,8.1,0.472,0.501,6.5,7.5,0.874,0.7,5.2,5.9,8.9,1.5,0.7,4.4,2.1,23.3,"MVP-10,AS,NBA3"
derozde01,6.0,DeMar DeRozan,35.0,SAC,SF,77.0,77.0,2768.0,8.1,17.0,0.477,1.1,3.3,0.328,7.0,13.7,0.513,0.509,4.9,5.7,0.857,0.7,3.2,3.9,4.4,0.8,0.4,1.4,2.0,22.2,
youngtr01,7.0,Trae Young,26.0,ATL,PG,76.0,76.0,2739.0,7.4,18.1,0.411,2.9,8.4,0.34,4.6,9.6,0.474,0.491,6.5,7.4,0.875,0.5,2.6,3.1,11.6,1.2,0.2,4.7,1.9,24.2,"CPOY-4,AS"
herroty01,8.0,Tyler Herro,25.0,MIA,SG,77.0,77.0,2725.0,8.6,18.2,0.472,3.3,8.9,0.375,5.3,9.4,0.565,0.563,3.8,4.3,0.878,0.5,4.8,5.3,5.6,0.9,0.2,2.6,1.1,24.3,AS
anunoog01,9.0,OG Anunoby,27.0,NYK,PF,74.0,74.0,2706.0,6.5,13.7,0.476,2.3,6.1,0.372,4.2,7.5,0.561,0.559,2.4,3.0,0.81,1.3,3.5,4.8,2.2,1.5,0.9,1.4,2.3,17.7,
greenja05,10.0,Jalen Green,22.0,HOU,SG,82.0,82.0,2697.0,8.1,19.2,0.423,3.1,8.8,0.354,5.0,10.4,0.482,0.505,3.6,4.5,0.813,0.6,4.4,5.0,3.8,0.9,0.4,2.7,1.7,23.0,
braunch01,11.0,Christian Braun,23.0,DEN,SG,79.0,77.0,2675.0,6.4,11.0,0.58,1.2,3.0,0.397,5.2,8.0,0.648,0.634,2.4,2.9,0.827,1.3,4.2,5.5,2.8,1.1,0.5,1.1,2.3,16.4,
adebaba01,12.0,Bam Adebayo,27.0,MIA,C,78.0,78.0,2674.0,7.3,15.0,0.485,1.1,3.0,0.357,6.2,12.0,0.517,0.521,3.4,4.4,0.765,2.5,7.6,10.1,4.5,1.3,0.7,2.2,2.2,19.0,DPOY-10
zubaciv01,13.0,Ivica Zubac,27.0,LAC,C,80.0,80.0,2624.0,8.1,12.9,0.628,0.0,0.0,,8.1,12.9,0.628,0.628,2.1,3.2,0.661,4.1,9.7,13.9,2.9,0.8,1.2,1.7,2.3,18.4,"DPOY-6,DEF2"
tatumja01,14.0,Jayson Tatum,26.0,BOS,PF,72.0,72.0,2624.0,9.1,20.1,0.452,3.4,10.0,0.343,5.7,10.1,0.559,0.537,4.9,6.0,0.814,0.7,7.9,8.5,5.9,1.0,0.5,2.9,2.2,26.5,"MVP-4,CPOY-10,AS,NBA1"
mcdanja02,15.0,Jaden McDaniels,24.0,MIN,PF,82.0,82.0,2614.0,5.5,11.5,0.477,1.4,4.2,0.33,4.1,7.3,0.561,0.537,1.4,1.8,0.813,1.8,4.7,6.5,2.2,1.5,1.0,1.3,3.1,13.8,
murrake02,16.0,Keegan Murray,24.0,SAC,PF,76.0,76.0,2610.0,5.0,11.3,0.444,2.1,6.2,0.343,2.9,5.1,0.566,0.538,0.8,1.0,0.833,2.0,5.0,7.0,1.5,0.8,1.0,0.8,2.6,13.0,
lavinza01,17.0,Zach LaVine,29.0,2TM,SG,74.0,74.0,2602.0,8.6,16.9,0.511,3.3,7.4,0.446,5.3,9.5,0.562,0.609,3.3,3.9,0.825,0.3,4.1,4.4,4.3,0.8,0.2,2.9,1.7,23.9,
lavinza01,17.0,Zach LaVine,29.0,CHI,SF,42.0,42.0,1432.0,9.1,17.8,0.511,3.4,7.7,0.446,5.7,10.2,0.56,0.607,3.6,4.6,0.797,0.3,4.8,5.1,4.8,1.0,0.3,3.0,1.6,25.3,
lavinza01,17.0,Zach LaVine,29.0,SAC,SG,32.0,32.0,1170.0,8.1,15.8,0.511,3.2,7.1,0.446,4.9,8.7,0.564,0.611,2.8,3.2,0.874,0.3,3.2,3.5,3.7,0.6,0.1,2.7,1.8,22.1,
