player_id,Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt p100,On-Off p100,BadPass TO,LostBall TO,Shoot Foul,Off. Foul,Shoot Drawn,Off. Drawn,PGA,And1,Blkd,Awards,Column_25
bridgmi01,3,Anthony Edwards,23,MIN,SG,79,79,2871,1,63,34,2,0,4.7,-1.3,124,94,61,12,233,2,888,58,55,"MVP-7,CPOY-3,AS,NBA2"
hartjo01,4,Devin Booker,28,PHO,SG,75,75,2795,1,45,50,4,0,-3.0,-0.9,127,62,81,16,200,26,1352,46,62,
edwaran01,5,James Harden,35,LAC,PG,79,79,2789,47,53,0,0,0,5.8,4.2,202,97,70,31,238,10,1570,43,65,"MVP-10,AS,NBA3"
bookede01,6,DeMar DeRozan,35,SAC,SF,77,77,2768,0,6,86,8,0,1.2,2.3,52,38,89,8,221,17,863,56,57,
hardeja01,7,Trae Young,26,ATL,PG,76,76,2739,100,0,0,0,0,-0.1,3.8,265,62,69,10,187,26,2031,37,66,"CPOY-4,AS"
derozde01,8,Tyler Herro,25,MIA,SG,77,77,2725,38,59,2,0,0,1.3,2.4,99,76,41,6,141,3,1046,35,75,AS
youngtr01,9,OG Anunoby,27,NYK,PF,74,74,2706,0,0,5,95,0,5.2,3.2,38,37,98,10,117,14,392,26,89,
herroty01,10,Jalen Green,22,HOU,SG,82,82,2697,27,71,1,0,0,2.0,-7.1,96,85,59,9,151,3,669,31,106,
anunoog01,11,Christian Braun,23,DEN,SG,79,77,2675,4,68,28,0,0,8.9,15.0,40,20,92,12,113,5,482,28,62,
greenja05,12,Bam Adebayo,27,MIA,C,78,78,2674,0,0,0,20,80,0.2,-1.2,69,51,82,23,152,5,842,31,46,DPOY-10
braunch01,13,Ivica Zubac,27,LAC,C,80,80,2624,0,0,0,0,100,9.3,13.9,40,47,107,21,124,4,511,36,58,"DPOY-6,DEF2"
adebaba01,14,Jayson Tatum,26,BOS,PF,72,72,2624,0,8,46,45,0,9.2,0.5,104,69,54,25,177,6,1118,37,56,"MVP-4,CPOY-10,AS,NBA1"
zubaciv01,15,Jaden McDaniels,24,MIN,PF,82,82,2614,0,0,78,21,1,3.7,-3.8,39,29,103,8,61,23,404,19,41,
tatumja01,16,Keegan Murray,24,SAC,PF,76,76,2610,0,0,12,88,0,1.2,2.0,20,25,104,2,42,16,264,14,28,
mcdanja02,17,Zach LaVine,29,2TM,SG,74,74,2602,1,38,52,8,0,-1.3,-0.9,100,76,72,8,138,2,740,34,48,
murrake02,17,Zach LaVine,29,CHI,SF,42,42,1432,0,5,79,15,0,1.0,3.6,57,45,43,2,86,1,450,19,28,
lavinza01,17,Zach LaVine,29,SAC,SG,32,32,1170,3,78,19,0,0,-4.0,-6.5,43,31,29,6,52,1,290,15,20,
lavinza01,18,Shai Gilgeous-Alexander,26,OKC,PG,76,76,2598,100,0,0,0,0,16.9,11.1,89,59,100,13,280,8,1232,61,77,"MVP-1,DPOY-10,CPOY-8,AS,NBA1"
lavinza01,19,Michael Porter Jr.,26,DEN,SF,77,77,2593,0,0,42,56,1,4.6,1.8,44,40,92,7,88,0,384,18,48,
gilgesh01,20,Derrick White,30,BOS,SG,76,76,2574,13,78,8,0,0,9.7,1.8,86,32,93,3,63,19,880,10,23,DPOY-10
portemi01,21,Dyson Daniels,21,ATL,SG,76,76,2571,0,50,44,6,0,-0.7,1.4,92,42,86,9,69,13,795,13,45,"DPOY-2,MIP-1,DEF1"
whitede01,22,Nikola Jokić,29,DEN,C,70,70,2571,0,0,0,0,100,10.5,19.0,135,65,76,17,174,5,1668,57,63,"MVP-2,CPOY-2,AS,NBA1"
daniedy01,23,Austin Reaves,26,LAL,SG,73,73,2550,35,49,15,1,0,4.4,7.8,106,53,81,6,154,38,996,41,47,
jokicni01,24,Toumani Camara,24,POR,PF,78,78,2548,0,0,0,84,16,-2.1,3.2,49,31,112,17,58,91,438,12,28,"DPOY-9,DEF2"
reaveau01,25,Pascal Siakam,30,IND,PF,78,78,2548,0,0,20,79,2,6.3,11.0,40,42,84,19,154,8,635,40,45,AS
camarto01,26,Brook Lopez,36,MIL,C,80,80,2546,0,0,0,0,100,2.0,-0.9,27,15,97,33,73,3,351,22,20,
siakapa01,27,Karl-Anthony Towns,29,NYK,C,72,72,2517,0,0,0,0,100,6.2,5.6,79,42,131,49,219,5,493,64,83,"AS,NBA3"
lopezbr01,28,Bub Carrington,19,WAS,PG,82,57,2458,95,5,0,0,0,-15.1,-7.9,80,39,116,9,31,12,884,10,23,
townska01,29,Cade Cunningham,23,DET,PG,70,70,2452,84,16,0,0,0,3.4,3.7,173,105,87,15,165,6,1511,39,100,"MVP-7,AS,NBA3"
carrica01,30,Tyrese Haliburton,24,IND,PG,73,73,2451,77,22,1,0,0,3.3,2.5,76,26,49,4,82,9,1614,23,23,NBA3
cunnica01,31,Coby White,24,CHI,SG,74,73,2450,30,58,11,0,0,-2.8,-4.1,75,58,65,17,132,15,827,37,77,
halibty01,32,LeBron James,40,LAL,SF,70,70,2444,0,4,66,30,1,-0.3,-5.3,172,57,42,13,152,11,1348,33,51,"MVP-6,CPOY-7,AS,NBA2"
whiteco01,33,Domantas Sabonis,28,SAC,C,70,70,2429,0,0,0,1,99,2.7,5.6,83,64,100,42,134,4,1003,34,60,
jamesle01,34,Jamal Murray,27,DEN,PG,67,67,2418,56,44,0,0,0,6.5,6.5,96,31,84,5,89,13,958,18,46,
sabondo01,35,Alperen Şengün,22,HOU,C,76,76,2395,0,0,0,7,93,7.0,6.8,73,67,106,30,190,17,915,42,84,AS
murraja01,36,Dillon Brooks,29,HOU,SF,75,75,2388,1,36,60,4,0,3.9,-0.9,36,16,104,16,52,18,306,12,36,
sengual01,37,Rudy Gobert,32,MIN,C,72,72,2388,0,0,0,0,100,6.7,4.1,29,32,84,22,130,20,327,24,54,"DPOY-13,DEF2"
brookdi01,38,Tobias Harris,32,DET,PF,73,73,2305,0,0,0,98,2,3.7,4.1,29,32,89,15,84,4,396,20,46,
goberru01,39,Darius Garland,25,CLE,PG,75,75,2301,100,0,0,0,0,10.3,1.3,111,52,60,7,106,25,1198,25,43,"CPOY-6,AS"
harrito02,40,Jalen Brunson,28,NYK,PG,65,65,2301,100,0,0,0,0,2.1,-4.9,99,56,60,6,177,50,1097,46,50,"MVP-10,CPOY-1,AS,NBA2"
garlada01,41,Jarrett Allen,26,CLE,C,82,82,2296,0,0,0,0,100,11.2,3.4,47,24,77,16,126,13,382,29,47,
brunsja01,42,Chris Paul,39,SAS,PG,82,82,2292,100,0,0,0,0,-1.3,3.9,98,23,72,4,13,3,1470,2,9,
allenja01,43,Anfernee Simons,25,POR,SG,70,70,2292,53,42,5,0,0,-5.0,-4.2,87,40,68,5,81,9,827,19,64,
paulch01,44,Giannis Antetokounmpo,30,MIL,PF,67,67,2289,0,0,0,68,32,6.9,11.0,69,63,67,32,353,3,1124,92,76,"MVP-3,DPOY-8,AS,NBA1"
simonan01,45,Malik Beasley,28,DET,SG,82,18,2283,15,75,10,0,0,2.8,1.9,44,27,61,6,53,8,332,14,29,6MOY-2
antetgi01,46,Kentavious Caldwell-Pope,31,ORL,SG,77,77,2279,3,80,17,0,0,0.4,2.0,41,12,63,6,25,37,332,9,10,
beaslma01,47,Nikola Vučević,34,CHI,C,73,72,2278,0,0,0,0,100,-2.1,-2.0,61,28,106,15,70,3,648,21,38,
caldwke01,48,Payton Pritchard,27,BOS,PG,80,3,2271,99,1,0,0,0,8.8,-0.6,41,20,41,7,24,6,690,7,38,6MOY-1
vucevni01,49,Kevin Durant,36,PHO,PF,62,62,2265,0,0,8,68,25,-1.0,4.2,100,58,55,17,154,8,625,38,32,AS
