player_id,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
gilgesh01,1.0,Shai Gilgeous-Alexander,26.0,OKC,PG,76.0,76.0,2598.0,860.0,1656.0,0.519,163.0,435.0,0.375,697.0,1221.0,0.571,0.569,601.0,669.0,0.898,67.0,312.0,379.0,486.0,131.0,77.0,183.0,164.0,2484.0,0.0,"MVP-1,DPOY-10,CPOY-8,AS,NBA1"
edwaran01,2.0,Anthony Edwards,23.0,MIN,SG,79.0,79.0,2871.0,721.0,1612.0,0.447,320.0,811.0,0.395,401.0,801.0,0.501,0.547,415.0,496.0,0.837,61.0,389.0,450.0,359.0,91.0,51.0,249.0,150.0,2177.0,0.0,"MVP-7,CPOY-3,AS,NBA2"
jokicni01,3.0,Nikola Jokić,29.0,DEN,C,70.0,70.0,2571.0,786.0,1364.0,0.576,138.0,331.0,0.417,648.0,1033.0,0.627,0.627,361.0,451.0,0.8,200.0,692.0,892.0,716.0,127.0,45.0,230.0,160.0,2071.0,34.0,"MVP-2,CPOY-2,AS,NBA1"
antetgi01,4.0,Giannis Antetokounmpo,30.0,MIL,PF,67.0,67.0,2289.0,793.0,1319.0,0.601,14.0,63.0,0.222,779.0,1256.0,0.62,0.607,436.0,707.0,0.617,147.0,651.0,798.0,433.0,58.0,78.0,206.0,155.0,2036.0,11.0,"MVP-3,DPOY-8,AS,NBA1"
tatumja01,5.0,Jayson Tatum,26.0,BOS,PF,72.0,72.0,2624.0,662.0,1465.0,0.452,250.0,728.0,0.343,412.0,737.0,0.559,0.537,358.0,440.0,0.814,48.0,575.0,623.0,431.0,76.0,38.0,209.0,157.0,1932.0,2.0,"MVP-4,CPOY-10,AS,NBA1"
bookede01,6.0,Devin Booker,28.0,PHO,SG,75.0,75.0,2795.0,654.0,1420.0,0.461,183.0,551.0,0.332,471.0,869.0,0.542,0.525,432.0,483.0,0.894,76.0,229.0,305.0,529.0,67.0,16.0,220.0,198.0,1923.0,0.0,
youngtr01,7.0,Trae Young,26.0,ATL,PG,76.0,76.0,2739.0,566.0,1376.0,0.411,218.0,642.0,0.34,348.0,734.0,0.474,0.491,491.0,561.0,0.875,36.0,200.0,236.0,880.0,91.0,12.0,355.0,145.0,1841.0,0.0,"CPOY-4,AS"
herroty01,8.0,Tyler Herro,25.0,MIA,SG,77.0,77.0,2725.0,651.0,1378.0,0.472,251.0,670.0,0.375,400.0,708.0,0.565,0.563,287.0,327.0,0.878,35.0,364.0,399.0,424.0,69.0,17.0,198.0,85.0,1840.0,0.0,AS
cunnica01,9.0,Cade Cunningham,23.0,DET,PG,70.0,70.0,2452.0,684.0,1457.0,0.469,149.0,418.0,0.356,535.0,1039.0,0.515,0.521,313.0,370.0,0.846,56.0,369.0,425.0,638.0,71.0,53.0,309.0,195.0,1830.0,9.0,"MVP-7,AS,NBA3"
hardeja01,10.0,James Harden,35.0,LAC,PG,79.0,79.0,2789.0,531.0,1295.0,0.41,235.0,668.0,0.352,296.0,627.0,0.472,0.501,505.0,578.0,0.874,55.0,401.0,456.0,687.0,118.0,55.0,341.0,162.0,1802.0,3.0,"MVP-10,AS,NBA3"
