player_id,year,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG_pct,_3P,_3PA,_3P_pct,_2P,_2PA,_2P_pct,eFG_pct,FT,FTA,FT_pct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,6MOY,AS,CPOY,DEF1,DEF2,DPOY,MIP,MVP,NBA1,NBA2,NBA3,ROY
derozde01,2024,1.0,DeMar DeRozan,34.0,CHI,SF,79.0,79.0,2989.0,7.8,16.3,0.48,0.9,2.7,0.333,6.9,13.6,0.509,0.507,6.3,7.4,0.853,0.5,3.6,4.1,5.1,1.1,0.5,1.6,1.9,22.8,0,0,2,0,0,0,0,0,0,0,0,0
sabondo01,2024,2.0,Domantas Sabonis,27.0,SAC,C,82.0,82.0,2928.0,7.8,13.1,0.594,0.4,1.1,0.379,7.4,12.1,0.613,0.609,3.6,5.1,0.704,3.6,10.2,13.8,8.3,0.9,0.6,3.3,3.1,19.6,0,0,0,0,0,10,0,8,0,0,1,0
whiteco01,2024,3.0,Coby White,23.0,CHI,PG,79.0,78.0,2881.0,6.8,15.1,0.447,2.6,6.9,0.376,4.1,8.2,0.508,0.534,2.7,3.2,0.838,0.5,3.9,4.5,5.1,0.7,0.2,2.1,2.3,18.9,0,0,0,0,0,0,0,0,0,0,0,0
bridgmi01,2024,4.0,Mikal Bridges,27.0,BRK,SF,82.0,82.0,2854.0,7.1,16.3,0.436,2.8,7.5,0.372,4.3,8.9,0.49,0.521,3.3,4.0,0.814,0.9,3.8,4.7,3.8,1.0,0.4,2.1,1.5,20.3,0,0,0,0,0,0,0,0,0,0,0,0
banchpa01,2024,5.0,Paolo Banchero,21.0,ORL,PF,80.0,80.0,2799.0,8.2,18.1,0.455,1.5,4.5,0.339,6.7,13.6,0.493,0.497,5.2,7.2,0.725,1.1,6.1,7.1,5.5,0.9,0.6,3.2,2.0,23.2,0,1,0,0,0,0,0,0,0,0,0,0
duranke01,2024,6.0,Kevin Durant,35.0,PHO,PF,75.0,75.0,2791.0,9.7,18.5,0.523,2.2,5.2,0.413,7.5,13.3,0.567,0.581,4.7,5.5,0.856,0.5,5.9,6.4,4.9,0.9,1.2,3.1,1.7,26.2,0,1,0,0,0,0,0,9,0,1,0,0
murrade01,2024,7.0,Dejounte Murray,27.0,ATL,SG,78.0,78.0,2783.0,8.7,18.9,0.459,2.6,7.2,0.363,6.1,11.8,0.518,0.528,2.7,3.4,0.794,0.8,4.6,5.4,6.5,1.4,0.3,2.6,1.8,22.7,0,0,0,0,0,0,0,0,0,0,0,0
edwaran01,2024,8.0,Anthony Edwards,22.0,MIN,SG,79.0,78.0,2770.0,9.3,20.2,0.461,2.5,6.9,0.357,6.9,13.3,0.515,0.522,5.5,6.6,0.836,0.7,4.9,5.6,5.3,1.3,0.5,3.1,1.8,26.6,0,1,8,0,0,0,0,7,0,1,0,0
jokicni01,2024,9.0,Nikola Jokić,28.0,DEN,C,79.0,79.0,2737.0,10.8,18.6,0.583,1.1,3.0,0.359,9.7,15.5,0.626,0.612,4.7,5.8,0.817,2.9,9.9,12.8,9.3,1.4,0.9,3.1,2.6,27.4,0,1,4,0,0,0,0,1,1,0,0,0
brunsja01,2024,10.0,Jalen Brunson,27.0,NYK,PG,77.0,77.0,2726.0,10.4,21.8,0.479,2.8,6.9,0.401,7.6,14.8,0.516,0.543,5.6,6.6,0.847,0.6,3.1,3.7,6.9,0.9,0.2,2.5,1.9,29.2,0,1,5,0,0,0,0,5,0,1,0,0
