player_id,year,Player,Age,Team,Pos,G,GS,MP,FG_pct,Dist,_2P_pct_of_FGA,range_0_3_pct_of_FGA,range_3_10_pct_of_FGA,range_10_16_pct_of_FGA,range_16_3P_pct_of_FGA,_3P_pct_of_FGA,_2P_FG_pct,range_0_3_FG_pct,range_3_10_FG_pct,range_10_16_FG_pct,range_16_3P_FG_pct,_3P_FG_pct,_2P_pct_ASTd,_3P_pct_ASTd,Dunks_pctFGA,Dunks_ct,pct3PA_Corner_3s,_3P_pct_Corner_3s,Half_Court_Att,Half_Court_Md,6MOY,AS,CPOY,DEF1,DEF2,DPOY,MIP,MVP,NBA1,NBA2,NBA3,ROY
derozde01,2024,3.0,Coby White,23.0,CHI,PG,79.0,78.0,2881.0,0.447,15.5,0.54,0.25,0.156,0.085,0.05,0.46,0.508,0.656,0.362,0.485,0.267,0.376,0.289,0.833,0.012,14.0,0.126,0.4,4.0,0,0,0,0,0,0,0,0,0,0,0,0
sabondo01,2024,4.0,Mikal Bridges,27.0,BRK,SF,82.0,82.0,2854.0,0.436,15.9,0.543,0.165,0.163,0.158,0.056,0.457,0.49,0.668,0.398,0.468,0.292,0.372,0.494,0.882,0.016,20.0,0.338,0.405,5.0,0,0,0,0,0,0,0,0,0,0,0,0
whiteco01,2024,5.0,Paolo Banchero,21.0,ORL,PF,80.0,80.0,2799.0,0.455,12.6,0.751,0.225,0.235,0.183,0.108,0.249,0.493,0.703,0.403,0.395,0.421,0.339,0.363,0.655,0.063,80.0,0.068,0.25,2.0,0,1,0,0,0,0,0,0,0,0,0,0
bridgmi01,2024,6.0,Kevin Durant,35.0,PHO,PF,75.0,75.0,2791.0,0.523,15.0,0.717,0.125,0.153,0.279,0.16,0.283,0.567,0.827,0.53,0.491,0.53,0.413,0.511,0.815,0.054,75.0,0.165,0.463,0.0,0,1,0,0,0,0,0,9,0,1,0,0
banchpa01,2024,7.0,Dejounte Murray,27.0,ATL,SG,78.0,78.0,2783.0,0.459,14.9,0.621,0.17,0.191,0.181,0.079,0.379,0.518,0.581,0.464,0.521,0.509,0.363,0.261,0.706,0.011,14.0,0.222,0.431,1.0,0,0,0,0,0,0,0,0,0,0,0,0
duranke01,2024,8.0,Anthony Edwards,22.0,MIN,SG,79.0,78.0,2770.0,0.461,14.1,0.659,0.228,0.192,0.125,0.114,0.341,0.515,0.707,0.438,0.446,0.333,0.357,0.331,0.558,0.051,67.0,0.086,0.348,5.0,0,1,8,0,0,0,0,7,0,1,0,0
murrade01,2024,9.0,Nikola Jokić,28.0,DEN,C,79.0,79.0,2737.0,0.583,9.7,0.836,0.26,0.404,0.115,0.057,0.164,0.626,0.741,0.614,0.537,0.37,0.359,0.572,0.807,0.013,17.0,0.035,0.25,8.0,0,1,4,0,0,0,0,1,1,0,0,0
edwaran01,2024,10.0,Jalen Brunson,27.0,NYK,PG,77.0,77.0,2726.0,0.479,14.3,0.681,0.127,0.275,0.189,0.09,0.319,0.516,0.636,0.519,0.474,0.426,0.401,0.23,0.583,0.002,3.0,0.131,0.464,1.0,0,1,5,0,0,0,0,5,0,1,0,0
jokicni01,2024,11.0,Josh Hart,28.0,NYK,SF,81.0,42.0,2707.0,0.434,12.8,0.62,0.321,0.169,0.1,0.029,0.38,0.511,0.661,0.339,0.382,0.3,0.31,0.633,0.888,0.016,10.0,0.24,0.339,1.0,0,0,0,0,0,0,0,0,0,0,0,0
brunsja01,2024,12.0,Anthony Davis,30.0,LAL,C,76.0,76.0,2700.0,0.556,8.0,0.917,0.369,0.309,0.15,0.09,0.083,0.582,0.774,0.487,0.432,0.365,0.271,0.67,0.966,0.162,196.0,0.15,0.125,0.0,0,1,0,1,0,4,0,0,0,1,0,0
hartjo01,2024,13.0,Fred VanVleet,29.0,HOU,PG,73.0,73.0,2684.0,0.416,19.9,0.424,0.093,0.123,0.073,0.136,0.576,0.454,0.505,0.384,0.459,0.478,0.387,0.219,0.568,0.0,0.0,0.09,0.491,8.0,0,0,0,0,0,0,0,0,0,0,0,0
davisan02,2024,14.0,De'Aaron Fox,26.0,SAC,PG,74.0,74.0,2659.0,0.465,15.0,0.626,0.134,0.248,0.172,0.072,0.374,0.522,0.72,0.534,0.423,0.351,0.369,0.198,0.626,0.017,24.0,0.134,0.436,1.0,0,0,12,0,0,0,0,0,0,0,0,0
vanvlfr01,2024,15.0,Pascal Siakam,29.0,2TM,PF,80.0,80.0,2657.0,0.536,9.9,0.806,0.304,0.312,0.129,0.061,0.194,0.581,0.739,0.515,0.445,0.423,0.346,0.507,0.976,0.033,40.0,0.297,0.466,0.0,0,0,0,0,0,0,0,0,0,0,0,0
foxde01,2024,15.0,Pascal Siakam,29.0,TOR,PF,39.0,39.0,1354.0,0.522,10.7,0.767,0.284,0.307,0.125,0.051,0.233,0.584,0.768,0.503,0.474,0.313,0.317,0.53,0.978,0.037,22.0,0.276,0.475,0.0,0,0,0,0,0,0,0,0,0,0,0,0
siakapa01,2024,15.0,Pascal Siakam,29.0,IND,PF,41.0,41.0,1303.0,0.549,9.1,0.844,0.324,0.316,0.133,0.071,0.156,0.58,0.714,0.527,0.419,0.5,0.386,0.486,0.974,0.029,18.0,0.327,0.455,0.0,0,0,0,0,0,0,0,0,0,0,0,0
siakapa01,2024,16.0,Jayson Tatum,25.0,BOS,PF,74.0,74.0,2645.0,0.471,15.4,0.573,0.222,0.167,0.092,0.092,0.427,0.542,0.741,0.441,0.389,0.397,0.376,0.357,0.485,0.065,86.0,0.059,0.361,0.0,0,1,9,0,0,0,0,6,1,0,0,0
siakapa01,2024,17.0,Austin Reaves,25.0,LAL,SG,82.0,57.0,2629.0,0.486,16.1,0.553,0.179,0.193,0.118,0.064,0.447,0.583,0.81,0.519,0.45,0.383,0.367,0.409,0.675,0.014,13.0,0.143,0.317,3.0,0,0,0,0,0,0,0,0,0,0,0,0
tatumja01,2024,18.0,Tyrese Maxey,23.0,PHI,PG,70.0,70.0,2626.0,0.45,14.7,0.599,0.222,0.229,0.092,0.056,0.401,0.501,0.667,0.406,0.392,0.413,0.373,0.343,0.599,0.004,6.0,0.072,0.61,3.0,0,1,0,0,0,0,1,0,0,0,0,0
reaveau01,2024,19.0,Luka Dončić,24.0,DAL,PG,70.0,70.0,2624.0,0.487,16.9,0.55,0.123,0.192,0.152,0.082,0.45,0.573,0.838,0.569,0.442,0.422,0.382,0.177,0.299,0.001,2.0,0.032,0.25,5.0,0,1,6,0,0,0,0,3,1,0,0,0
maxeyty01,2024,20.0,Nikola Vučević,33.0,CHI,C,76.0,74.0,2610.0,0.484,12.1,0.742,0.225,0.302,0.128,0.086,0.258,0.55,0.645,0.552,0.477,0.404,0.294,0.745,1.0,0.031,31.0,0.054,0.294,0.0,0,0,0,0,0,0,0,0,0,0,0,0
doncilu01,2024,21.0,Jalen Green,21.0,HOU,SG,82.0,82.0,2601.0,0.423,15.8,0.546,0.217,0.166,0.064,0.099,0.454,0.498,0.692,0.344,0.353,0.424,0.332,0.34,0.552,0.042,48.0,0.089,0.37,3.0,0,0,0,0,0,0,0,0,0,0,0,0
vucevni01,2024,22.0,Rudy Gobert,31.0,MIN,C,76.0,76.0,2593.0,0.661,2.7,0.995,0.757,0.195,0.029,0.013,0.005,0.664,0.755,0.4,0.222,0.375,0.0,0.685,,0.441,248.0,0.0,,1.0,0,0,0,1,0,1,0,0,0,0,0,0
greenja05,2024,23.0,Keegan Murray,23.0,SAC,SF,77.0,77.0,2588.0,0.454,17.3,0.476,0.139,0.149,0.112,0.076,0.524,0.56,0.728,0.559,0.477,0.378,0.358,0.746,0.978,0.084,72.0,0.252,0.326,1.0,0,0,0,0,0,0,0,0,0,0,0,0
goberru01,2024,24.0,Miles Bridges,25.0,CHO,SF,69.0,67.0,2581.0,0.462,13.6,0.628,0.283,0.207,0.058,0.081,0.372,0.529,0.696,0.424,0.343,0.347,0.349,0.555,0.879,0.058,66.0,0.196,0.341,7.0,0,0,0,0,0,0,0,0,0,0,0,0
murrake02,2024,25.0,Damian Lillard,33.0,MIL,PG,73.0,73.0,2579.0,0.424,17.2,0.513,0.194,0.147,0.078,0.094,0.487,0.49,0.677,0.314,0.404,0.45,0.354,0.196,0.509,0.01,8.0,0.058,0.278,7.0,0,1,11,0,0,0,0,0,0,0,0,0
bridgmi02,2024,26.0,Giannis Antetokounmpo,29.0,MIL,PF,73.0,73.0,2567.0,0.611,6.7,0.909,0.519,0.251,0.068,0.072,0.091,0.645,0.818,0.452,0.323,0.374,0.274,0.509,0.5,0.193,251.0,0.024,0.0,1.0,0,1,12,0,0,9,0,4,1,0,0,0
lillada01,2024,27.0,Michael Porter Jr.,25.0,DEN,SF,81.0,81.0,2565.0,0.484,17.5,0.487,0.179,0.092,0.08,0.136,0.513,0.575,0.725,0.414,0.477,0.544,0.397,0.758,0.964,0.055,49.0,0.211,0.436,1.0,0,0,0,0,0,0,0,0,0,0,0,0
antetgi01,2024,28.0,Shai Gilgeous-Alexander,25.0,OKC,PG,75.0,75.0,2553.0,0.535,11.3,0.819,0.252,0.224,0.26,0.083,0.181,0.576,0.731,0.492,0.53,0.472,0.353,0.223,0.368,0.027,37.0,0.059,0.5,0.0,0,1,3,0,0,7,0,2,1,0,0,0
portemi01,2024,29.0,Grayson Allen,28.0,PHO,SG,75.0,74.0,2513.0,0.499,18.2,0.348,0.192,0.13,0.023,0.001,0.652,0.57,0.687,0.438,0.375,0.0,0.461,0.57,0.912,0.031,17.0,0.294,0.473,0.0,0,0,0,0,0,0,0,0,0,0,0,0
